isv	pos	synonyms
dvorjanin		aristokrat, dvorjan, šljahtič
dvorjanstvo		aristokracija, šljahta
dvucifrny		dvuznačny
dvuetapovy		dvustupny
dvukratny		dvojny
dvulicevy		dvuličny, liceměrny
dvuličny		dvulicevy, liceměrny
dvulětnji		dvulětny
dvulětny		dvulětnji
dvusmyslnost		dvuznačnost
dvusmyslny		dvuznačny
dvustupny		dvuetapovy
dvuznačnost		dvusmyslnost
dvuznačny		dvucifrny, dvusmyslny
dvěstě		dvasto
dyhati		dyšati
dym		čad
dymnik		komin
dyšati		dyhati
dyšnik		dyšno grlo
dyšno grlo		dyšnik
děd		dědok
dědok		děd
dějanje		akcija, slučka, sobytje
dějatelj		aktivist
dějateljnost		aktivitet, aktivnost
dějati se		děti se, odbyvati se, odigryvati se, slučati se
děl		filial, kus, kusok, odděl, odděljenje, odrěz, odrězok, poděl, razděl, sekcija, uděl
dělati		napravjati, rabiti, činiti
dělba		děljenje
děljenje		dělba
dělo		akt, kvestija, praca, rabota, stvar, čin
děte		čedo
děti		klasti
děti se		dějati se, odbyvati se, odigryvati se, slučati se, točiti se
dětinstvo		dětstvo
dětsky sad		dětsky sadok
dětsky sadok		dětsky sad
dětstvo		dětinstvo
děva		děvka, děvče, děvčina, mladica
děvičstvo		děvstvo
děvka		děva, děvče, děvčina, mladica
děvstvo		děvičstvo
děvče		děva, děvka, děvčina, mladica
děvčina		děva, děvka, děvče, mladica
džokej		žokej
e-pošta		elektronična pošta
edem		otok
edukacija		obrazovanje, prosvěta
edukacijny		obrazovateljny, učebny
efekt		učinok
egipčan		egipčanin
egipčanin		egipčan
egoist		seběčnjak
egoističny		seběčny
egoizm		sebeljubje, seběčnost
egzistencija		bytje, bytost, egzistovanje, jestestvo
egzistovanje		bytost, egzistencija
egzistovati		byti, istnovati, jestvovati, obstajati, sutstvovati
eho		odglas
ekipa		družina, komanda, posada
ekonomija		gospodarstvo
ekonomika		gospodarstvo
ekran		displej
ekskursija		izlet
ekspansija		razširjenje
eksperiment		izkus, opyt, pokus
ekspert		znalec
eksploatovati		izkoristyvati
eksplodovati		izbuhati
eksplozija		izbuh
eksplozivny		izbuhlivy
eksport		izvoz
eksportovati		izvoziti
ekstrakt		izteg
ekstremist		krajnec
ekvivalent		odpovědnik
ekvivalentny		ravnoznačny
ekzamen		izpyt
elastičnost		gybkost
elastičny		gybky, pružny
elegantny		šikarny
elektronična pošta		e-pošta
element		prvěstok
elisa		propeler, vrtka
emigracija		izseljenje
emigrant		izseljenec
emocija		čuvstvo
emocionalny		čuvstveny
epilepsija		padučnica
episkop		biskup
epoha		doba, era
era		doba, epoha
eskortovati		akompanovati, suprovadžati
estrada		scena
estuarij		ustje
etap		faza, stadija, stupenj
etiketka		značka
etnograf		narodopisec
etnografija		narodopis
eventualno		možlivo, možno
eventualny		možlivy, možny
evnuh		kastrat
evolucija		razvitje, razvoj
evropejska unija		evropejsky sojuz
evropejsky		evropsky
evropejsky sojuz		evropejska unija
evropsky		evropejsky
fabrika		tovarna, zavod
fabrikovati		izrabotyvati, iztvarjati, produkovati
fag		bakteriofag
fajka		ljuljka
faktor		činitelj
fakultativny		opcionalny
falšivy		krivy, ložny
fantom		prividěnje, prizrak
farba		barva, barvivo
farbovati		barviti, kolorovati, maljevati
fasolja		bob
faza		etap, stadija
fehtovanje		sabljevanje
fenicija		fenikija
fenikija		fenicija
fenomen		javjenje
fermer		zemjedělec
fevruar		ljuty, vtory měsec
figa		smokva
figura		oblik
fikcija		izmysljenje
fiktivny		izmysljeny
filantrop		člověkoljubec
filantropija		dobročinnost, člověkoljubje
filantropičny		člověkoljubivy
filial		děl
film rysovany		animovany film, film črtany
film užasov		horor-film
film črtany		animovany film, film rysovany
filtrovati		cěditi
finansist		finančnik
finančnik		finansist
finik		datulja
fioletovy		temnolavandovy
firma		kompanija, prědprijemstvo
fitilj		knot
fjuzelaž		tělo samoleta
fleka		petno, pljama
fleksibilny		gybky
fljaška		butylka
flomaster		marker
fokus		lest, trik
fon		podklad, pozadje, tlo
fond		fundacija
fonema		glaska
fontana		vodoskok
forma		oblik
formovanje		obrazovanje
fortepiano		klavir
fotka		fotografija, snimok
fotografija		fotka, snimok
fragment		odlomok
fraze		kliše
fraznik		razgovornik
frizer		bradobrivec
frustracija		razočarovanje
frustrovany		razočarovany
fundacija		fond
fundament		podloga, podstava, zaklad
futro		krzno, srst
gad		zmija
gadati		vražiti
gadji		zmiji
gadny		gnusny, mrzky, odvratlivy, odvratny, omrzlivy
